"ESTU_GENERO","ESTU_FECHANACIMIENTO","PERIODO","YEAR","ESTU_DEPTO_RESIDE","ESTU_MCPIO_RESIDE","FAMI_ESTRATOVIVIENDA","COLE_BILINGUE","COLE_CARACTER","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_SOCIALES_CIUDADANAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL","DESEMP_LECTURA_CRITICA","DESEMP_MATEMATICAS","DESEMP_C_NATURALES","DESEMP_SOCIALES_CIUDADANAS","DESEMP_INGLES","ESTU_INSE_INDIVIDUAL","ESTU_NSE_INDIVIDUAL"
"M",5-03-04,20211,"2021","ANTIOQUIA","ENVIGADO","Estrato 5","N","NO APLICA",73,71,71,73,100,371,4,4,4,4,"B+",NA,NA
"F",2003-09-05,20214,"2021","ANTIOQUIA","MEDELLÍN","Estrato 6","N","ACADÉMICO",68,100,74,67,100,395,4,4,3,4,"B+",72.4548140600709,4
"F",2005-01-01,20214,"2021","NARIÑO","CUMBAL","Estrato 1","S","TÉCNICO/ACADÉMICO",56,63,59,60,50,294,3,3,3,3,"A1",46.4480805498855,2
"F",2006-04-17,20224,"2022","VALLE","CALI","Estrato 3","S","TÉCNICO",58,61,54,59,58,290,3,3,3,2,"A2",54.5030360543493,3
"F",2004-08-16,20214,"2021","NARIÑO","PASTO","Estrato 1","N","ACADÉMICO",59,59,60,48,44,278,3,3,2,3,"A-",44.1362414038103,2
"M",2003-08-25,20224,"2022","CESAR","VALLEDUPAR","Estrato 1","N","TÉCNICO",47,47,32,48,47,219,2,2,2,1,"A-",40.2367493057559,1
"M",2005-05-23,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",57,55,47,55,56,268,3,3,2,2,"A1",59.8770115421947,3
"M",2005-06-18,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","TÉCNICO/ACADÉMICO",39,40,39,49,35,206,2,2,2,1,"A-",50.3421349323999,2
"F",2004-10-05,20204,"2020","NARIÑO","SAN ANDRÉS DE TUMACO","Estrato 1","N","TÉCNICO/ACADÉMICO",36,29,35,33,38,168,2,1,1,1,"A-",56.6512057022259,3
"F",2002-12-19,20214,"2021","CALDAS","MARQUETALIA","Estrato 1","N","TÉCNICO",54,46,39,45,44,229,3,2,2,1,"A-",37.2538253301768,1
"F",2006-07-06,20234,"2023","TOLIMA","ESPINAL","Estrato 2","N","NO APLICA",36,36,33,36,27,173,2,2,1,1,"A-",53.9661488379052,3
"M",2002-09-19,20214,"2021","VALLE","PALMIRA","Estrato 3","N","TÉCNICO",57,51,56,48,53,265,3,3,2,3,"A1",56.8953134257498,3
"F",2006-01-11,20234,"2023","ANTIOQUIA","MEDELLÍN","Estrato 3","N","ACADÉMICO",65,51,56,56,62,287,3,3,3,3,"A2",50.4197311467656,2
"M",2005-09-08,20224,"2022","QUINDIO","ARMENIA","Estrato 2","N","TÉCNICO/ACADÉMICO",68,74,69,72,78,357,4,4,4,3,"B1",50.3399084558964,2
"M",2001-11-22,20214,"2021","BOLIVAR","CARTAGENA DE INDIAS","Estrato 3","N","TÉCNICO/ACADÉMICO",36,44,39,44,33,201,2,2,2,1,"A-",55.2228090110217,3
"M",2006-04-11,20234,"2023","NORTE SANTANDER","EL TARRA","Sin Estrato","N","TÉCNICO/ACADÉMICO",49,50,31,51,44,226,2,2,2,1,"A-",46.596287877065,2
"M",2005-01-03,20224,"2022","GUAVIARE","SAN JOSÉ DEL GUAVIARE","Estrato 1","N","ACADÉMICO",62,74,62,67,63,330,3,4,3,3,"A2",42.3871560725539,2
"M",2006-03-14,20224,"2022","VALLE","SEVILLA","Estrato 1","S","ACADÉMICO",57,57,66,59,46,293,3,3,3,3,"A-",46.2520657542468,2
"F",2006-10-01,20234,"2023","VALLE","CALI","Estrato 2","N","NO APLICA",50,50,45,52,46,245,2,2,2,2,"A-",50.0615483611273,2
"F",2003-07-25,20214,"2021","ANTIOQUIA","MEDELLÍN","Estrato 3","N","TÉCNICO/ACADÉMICO",69,60,64,55,59,309,4,3,2,3,"A2",53.1652698790989,3
"M",2006-03-03,20224,"2022","NARIÑO","TÚQUERRES","Estrato 2","N","TÉCNICO",59,45,47,53,54,256,3,2,2,2,"A1",33.4103087641237,1
"F",2004-04-17,20204,"2020","LA GUAJIRA","DIBULLA","Estrato 1","N","TÉCNICO",44,36,37,39,43,197,2,2,1,1,"A-",47.4680227767542,2
"F",2005-03-13,20234,"2023","TOLIMA","FLANDES","Estrato 3","N","ACADÉMICO",33,40,33,37,49,184,1,2,1,1,"A1",47.033227136015,2
"F",2004-12-11,20214,"2021","BOLIVAR","CARTAGENA DE INDIAS","Estrato 1","N","TÉCNICO/ACADÉMICO",59,54,56,51,59,277,3,3,2,3,"A2",41.985040120237,2
"F",2006-12-22,20234,"2023","SUCRE","MAJAGUAL","Estrato 1","N","ACADÉMICO",37,34,28,31,26,160,2,1,1,1,"A-",47.643320250806,2
"F",2006-09-20,20234,"2023","ANTIOQUIA","MEDELLÍN","Estrato 2","N","ACADÉMICO",47,42,36,41,41,207,2,2,2,1,"A-",58.3130230478608,3
