"ESTU_GENERO","ESTU_FECHANACIMIENTO","PERIODO","YEAR","ESTU_DEPTO_RESIDE","ESTU_MCPIO_RESIDE","FAMI_ESTRATOVIVIENDA","COLE_BILINGUE","COLE_CARACTER","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_SOCIALES_CIUDADANAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL","DESEMP_LECTURA_CRITICA","DESEMP_MATEMATICAS","DESEMP_C_NATURALES","DESEMP_SOCIALES_CIUDADANAS","DESEMP_INGLES","ESTU_INSE_INDIVIDUAL","ESTU_NSE_INDIVIDUAL"
"M",2007-07-29,20234,"2023","ANTIOQUIA","CALDAS","Estrato 2","N","TÉCNICO/ACADÉMICO",75,70,75,70,55,356,4,3,3,4,"A1",51.1903109355572,3
"M",2001-04-23,20204,"2020","ATLANTICO","BARRANQUILLA","Estrato 2","N","ACADÉMICO",51,50,64,57,57,278,3,2,3,3,"A1",36.8889861081541,1
"M",2005-08-08,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","NO APLICA",44,47,40,50,42,225,2,2,2,1,"A-",43.3955521615686,2
"M",2005-07-30,20234,"2023","ANTIOQUIA","BELLO","Estrato 2","N","ACADÉMICO",51,54,50,46,43,248,3,3,2,2,"A-",53.1670324076145,3
"F",2003-06-11,20204,"2020","CHOCO","ISTMINA","Estrato 1","N","TÉCNICO/ACADÉMICO",41,41,41,49,31,210,2,2,2,2,"A-",39.1518921816796,1
"M",2003-07-11,20204,"2020","ANTIOQUIA","ITAGÜÍ","Estrato 2","N","TÉCNICO/ACADÉMICO",56,60,49,58,59,280,3,3,3,2,"A2",57.1822392030496,3
"M",2005-05-20,20214,"2021","SUCRE","COROZAL","Estrato 1","N","TÉCNICO/ACADÉMICO",69,64,71,66,55,333,4,3,3,4,"A1",50.5447589151961,2
"F",2005-12-22,20224,"2022","SANTANDER","BUCARAMANGA","Estrato 2","N","TÉCNICO/ACADÉMICO",52,53,47,53,39,252,3,3,2,2,"A-",36.4634030164506,1
"F",2004-12-11,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","TÉCNICO/ACADÉMICO",55,55,52,50,57,267,3,3,2,2,"A1",53.8231161402079,3
"M",1972-02-08,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Sin Estrato","N","ACADÉMICO",35,25,32,25,34,148,1,1,1,1,"A-",NA,NA
"M",2003-12-26,20204,"2020","CORDOBA","TIERRALTA","Sin Estrato","N","TÉCNICO/ACADÉMICO",56,58,49,53,48,268,3,3,2,2,"A1",45.273955477519,2
"M",2006-05-16,20224,"2022","BOYACA","TURMEQUÉ","Estrato 2","N","TÉCNICO",43,52,42,53,44,236,2,3,2,2,"A-",43.5283112971165,2
"F",2003-02-03,20204,"2020","ATLANTICO","BARRANQUILLA","Estrato 1","N","ACADÉMICO",52,60,49,36,41,243,3,3,1,2,"A-",48.1924059525279,2
"F",2006-01-28,20234,"2023","NORTE SANTANDER","SALAZAR","Estrato 4","N","TÉCNICO",37,32,31,41,32,175,2,1,2,1,"A-",38.1754235195892,1
"F",2003-06-16,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",58,61,57,58,51,290,3,3,3,3,"A1",57.0873546945424,3
"F",2003-10-22,20214,"2021","MAGDALENA","CIÉNAGA","Estrato 2","N","TÉCNICO",55,56,48,51,52,262,3,3,2,2,"A1",47.536713852856,2
"F",2003-08-20,20214,"2021","LA GUAJIRA","URUMITA","Estrato 1","N","TÉCNICO/ACADÉMICO",50,49,45,49,36,237,2,2,2,2,"A-",42.6229416341317,2
"M",2006-08-11,20234,"2023","CUNDINAMARCA","FACATATIVÁ","Estrato 1","N","NO APLICA",40,38,38,37,35,190,2,2,1,1,"A-",56.1118005754098,3
"F",2006-08-10,20234,"2023","HUILA","TIMANÁ","Estrato 2","N","TÉCNICO/ACADÉMICO",59,59,59,50,48,280,3,3,2,3,"A1",47.6877426218997,2
"M",2003-09-17,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",51,38,42,40,42,213,3,2,1,2,"A-",46.317698078863,2
"M",2004-02-02,20214,"2021","ATLANTICO","BARRANQUILLA","Estrato 1","N","NO APLICA",57,52,54,50,43,262,3,3,2,2,"A-",50.3120312774844,2
"F",2006-10-21,20234,"2023","CORDOBA","TUCHÍN","Estrato 1","N","TÉCNICO/ACADÉMICO",40,29,34,37,46,179,2,1,1,1,"A-",64.6652191003497,4
"M",2006-12-03,20224,"2022","ANTIOQUIA","BRICEÑO","Estrato 2","N","ACADÉMICO",40,42,43,38,34,201,2,2,1,2,"A-",47.3703591208334,2
"F",2004-01-23,20204,"2020","TOLIMA","LÍBANO","Estrato 2","N","ACADÉMICO",54,40,49,43,44,232,3,2,2,2,"A-",52.627942400255,3
"F",2003-07-10,20204,"2020","GUAVIARE","SAN JOSÉ DEL GUAVIARE","Estrato 1","N","ACADÉMICO",40,38,41,31,35,187,2,2,1,2,"A-",38.6311413964388,1
"M",2005-12-07,20224,"2022","SUCRE","TOLÚ VIEJO","Estrato 1","N","TÉCNICO",43,35,37,32,46,187,2,1,1,1,"A-",45.7269715844334,2
"F",2004-10-02,20224,"2022","META","VILLAVICENCIO","Estrato 1","N","TÉCNICO/ACADÉMICO",43,41,33,37,38,192,2,2,1,1,"A-",46.2386768283565,2
"M",2004-01-18,20234,"2023","ATLANTICO","BARRANQUILLA","Sin Estrato","N","ACADÉMICO",68,45,56,35,67,261,4,2,1,3,"A2",NA,NA
"F",2002-02-07,20231,"2023","VALLE","CALI","Estrato 4","N","ACADÉMICO",53,39,40,40,51,218,3,2,1,1,"A1",59.5698704955259,3
"M",2005-06-19,20214,"2021","MAGDALENA","NUEVA GRANADA","Estrato 1","N","TÉCNICO",57,67,27,58,33,254,3,3,3,1,"A-",36.627916679789,1
"F",2006-08-11,20234,"2023","SANTANDER","BARBOSA","Estrato 1","N","ACADÉMICO",49,50,38,47,49,231,2,2,2,1,"A1",34.2769353727367,1
"M",2006-05-28,20234,"2023","SANTANDER","BUCARAMANGA","Sin Estrato","N","TÉCNICO/ACADÉMICO",73,71,73,69,67,356,4,4,3,4,"A2",NA,NA
"M",2002-06-28,20204,"2020","LA GUAJIRA","MAICAO","Estrato 1","N","TÉCNICO/ACADÉMICO",55,50,55,47,43,255,3,2,2,2,"A-",40.7534746744981,1
"M",2005-07-28,20224,"2022","ANTIOQUIA","MEDELLÍN","Estrato 3","N","ACADÉMICO",58,62,63,64,67,311,3,3,3,3,"A2",65.3930573741036,4
"F",2005-05-31,20224,"2022","ATLANTICO","BARRANQUILLA","Estrato 2","N","ACADÉMICO",43,28,35,41,33,182,2,1,2,1,"A-",50.9030968852319,2
"F",2004-04-23,20204,"2020","BOLIVAR","CARTAGENA DE INDIAS","Estrato 3","N","TÉCNICO/ACADÉMICO",61,53,40,50,48,254,3,3,2,1,"A1",60.9376898673803,3
"F",1997-01-16,20214,"2021","VALLE","ROLDANILLO","Estrato 4","N","TÉCNICO",36,38,37,35,34,182,2,2,1,1,"A-",54.0493278262533,3
"F",2006-01-16,20224,"2022","CAQUETA","FLORENCIA","Estrato 1","N","TÉCNICO/ACADÉMICO",77,59,58,56,53,309,4,3,3,3,"A1",62.9086495486281,3
"M",2003-02-14,20214,"2021","CESAR","ASTREA","Sin Estrato","N","TÉCNICO/ACADÉMICO",59,47,37,41,46,230,3,2,2,1,"A-",NA,NA
"F",2003-06-27,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","ACADÉMICO",50,55,37,45,40,231,2,3,2,1,"A-",49.1668732895145,2
"M",2006-12-23,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",69,72,70,72,75,355,4,4,4,3,"B1",64.6878035319333,4
"M",2005-07-28,20224,"2022","ATLANTICO","SOLEDAD","Estrato 2","N","ACADÉMICO",67,68,53,52,39,292,4,3,2,2,"A-",50.3597846189458,2
"F",2003-10-14,20204,"2020","VALLE","YUMBO","Estrato 2","N","TÉCNICO/ACADÉMICO",58,57,56,59,49,284,3,3,3,3,"A1",55.9049568171782,3
"M",2002-01-11,20204,"2020","VALLE","CALI","Estrato 2","N","TÉCNICO/ACADÉMICO",62,63,51,55,38,281,3,3,2,2,"A-",66.4307137170568,4
"M",2004-10-03,20224,"2022","ANTIOQUIA","MEDELLÍN","Estrato 2","N","TÉCNICO/ACADÉMICO",55,51,45,49,51,250,3,3,2,2,"A1",52.2246734610156,3
"M",2006-06-26,20224,"2022","ATLANTICO","SOLEDAD","Estrato 1","N","NO APLICA",58,50,34,52,51,243,3,2,2,1,"A1",50.0071840300022,2
"F",2004-04-11,20214,"2021","ANTIOQUIA","MEDELLÍN","Estrato 2","N","ACADÉMICO",44,47,38,49,39,220,2,2,2,1,"A-",54.9902749808951,3
"F",2004-09-29,20224,"2022","SANTANDER","GIRÓN","Estrato 1","N","NO APLICA",43,52,38,46,56,228,2,3,2,1,"A1",52.2392080880933,3
"F",2005-10-12,20234,"2023","VALLE","DAGUA","Estrato 4","N","TÉCNICO",40,38,45,36,45,201,2,2,1,2,"A-",47.9712972054174,2
"F",2003-10-30,20204,"2020","CORDOBA","LORICA","Estrato 1","N","TÉCNICO/ACADÉMICO",68,51,57,53,42,280,4,3,2,3,"A-",36.8184068542709,1
"M",2004-01-02,20224,"2022","PUTUMAYO","SAN MIGUEL","Estrato 1","N","TÉCNICO/ACADÉMICO",46,48,38,38,46,214,2,2,1,1,"A-",39.9847567204262,1
"F",2003-01-22,20204,"2020","CORDOBA","MONTELÍBANO","Estrato 1","N","ACADÉMICO",57,60,59,59,55,292,3,3,3,3,"A1",42.9820491072455,2
"F",2005-06-25,20234,"2023","CUNDINAMARCA","SOACHA","Estrato 3","N","ACADÉMICO",52,57,63,44,38,264,3,3,2,3,"A-",57.0995082544735,3
"M",2002-04-05,20214,"2021","BOYACA","CHIQUINQUIRÁ","Estrato 4","N","TÉCNICO/ACADÉMICO",47,38,32,33,42,189,2,2,1,1,"A-",53.0808621266744,3
"M",2007-01-23,20234,"2023","CUNDINAMARCA","FUSAGASUGÁ","Estrato 3","N","ACADÉMICO",65,63,64,63,77,324,3,3,3,3,"B1",62.2733945496598,3
"M",2006-11-09,20224,"2022","ATLANTICO","SANTA LUCÍA","Sin Estrato","N","ACADÉMICO",40,46,43,48,31,216,2,2,2,2,"A-",49.8990988411176,2
"M",2006-04-16,20224,"2022","NARIÑO","PASTO","Estrato 2","N","TÉCNICO",54,60,46,58,60,275,3,3,3,2,"A2",60.5112546304656,3
"F",2003-08-29,20204,"2020","SANTANDER","LEBRIJA","Estrato 1","N","TÉCNICO/ACADÉMICO",50,63,47,40,51,250,2,3,1,2,"A1",56.7399591964765,3
"F",2005-10-05,20224,"2022","ATLANTICO","POLONUEVO","Estrato 2","N","TÉCNICO/ACADÉMICO",53,50,45,57,54,257,3,2,3,2,"A1",51.1080297901792,2
"M",2003-08-10,20204,"2020","CORDOBA","SAN PELAYO","Estrato 1","N","ACADÉMICO",69,75,69,70,60,350,4,4,3,3,"A2",46.2356052528339,2
"F",2004-08-27,20214,"2021","MAGDALENA","SANTA MARTA","Estrato 2","N","ACADÉMICO",63,47,60,57,58,284,3,2,3,3,"A2",57.6931282969355,3
"F",2001-02-28,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",59,64,59,58,45,294,3,3,3,3,"A-",57.2407469686709,3
"F",2003-09-20,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Sin Estrato","N","ACADÉMICO",65,64,64,52,47,301,3,3,2,3,"A-",NA,NA
"M",2006-07-26,20234,"2023","ANTIOQUIA","MEDELLÍN","Estrato 3","N","ACADÉMICO",43,35,34,41,49,195,2,1,2,1,"A1",55.2219036906526,3
"F",2005-09-13,20224,"2022","ANTIOQUIA","ENVIGADO","Estrato 5","N","ACADÉMICO",49,58,51,49,66,264,2,3,2,2,"A2",68.636164392169,4
"F",2007-12-30,20234,"2023","ATLANTICO","MALAMBO","Sin Estrato","N","NO APLICA",40,35,29,39,50,184,2,1,1,1,"A1",34.1136408846673,1
"F",2005-01-03,20224,"2022","ANTIOQUIA","ITAGÜÍ","Estrato 3","N","TÉCNICO/ACADÉMICO",55,63,58,56,57,290,3,3,3,3,"A1",48.5879074754964,2
"F",2002-10-02,20224,"2022","VALLE","CARTAGO","Sin Estrato","N","ACADÉMICO",36,30,33,36,38,170,2,1,1,1,"A-",NA,NA
"M",2001-11-09,20204,"2020","TOLIMA","PIEDRAS","Estrato 2","N","TÉCNICO/ACADÉMICO",42,50,42,51,36,227,2,2,2,2,"A-",38.0089840236504,1
"F",2004-12-09,20224,"2022","HUILA","LA PLATA","Sin Estrato","N","ACADÉMICO",41,34,35,33,42,181,2,1,1,1,"A-",NA,NA
"F",2005-03-19,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",43,41,43,36,41,204,2,2,1,2,"A-",52.990266317053,3
"M",2006-12-21,20234,"2023","ATLANTICO","BARRANQUILLA","Estrato 1","N","TÉCNICO",57,65,59,55,48,291,3,3,2,3,"A1",47.6448604753266,2
"M",2004-11-10,20214,"2021","NORTE SANTANDER","VILLA DEL ROSARIO","Estrato 3","N","ACADÉMICO",55,63,47,58,55,278,3,3,3,2,"A1",63.4350514320696,3
"F",2004-12-29,20214,"2021","VALLE","CALI","Estrato 2","N","TÉCNICO/ACADÉMICO",54,41,42,40,56,226,3,2,1,2,"A1",50.3842816747341,2
"M",2004-02-26,20204,"2020","CORDOBA","SAN PELAYO","Estrato 2","N","NO APLICA",32,32,27,39,42,166,1,1,1,1,"A-",42.3907022941022,2
"M",2005-05-13,20224,"2022","ATLANTICO","BARRANQUILLA","Sin Estrato","N","ACADÉMICO",43,36,27,34,52,182,2,2,1,1,"A1",39.1791894259873,1
"F",2002-06-03,20234,"2023","NARIÑO","FRANCISCO PIZARRO","Sin Estrato","N","ACADÉMICO",49,42,28,42,41,202,2,2,2,1,"A-",29.3337241253218,1
"M",2004-04-23,20224,"2022","ANTIOQUIA","URRAO","Sin Estrato","N","TÉCNICO/ACADÉMICO",50,44,46,49,35,232,2,2,2,2,"A-",52.9346703157848,3
"M",2004-04-28,20234,"2023","NARIÑO","CONSACÁ","Estrato 1","N","ACADÉMICO",51,62,52,59,48,277,3,3,3,2,"A1",45.5010143551842,2
"M",2005-02-28,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",43,57,42,50,38,236,2,3,2,2,"A-",52.0958263771496,3
"F",2006-01-28,20224,"2022","TOLIMA","FRESNO","Estrato 3","N","TÉCNICO",45,54,48,53,62,255,2,3,2,2,"A2",52.6338884668687,3
"F",2007-08-19,20234,"2023","BOLIVAR","EL CARMEN DE BOLÍVAR","Sin Estrato","N","ACADÉMICO",36,38,35,37,38,183,2,2,1,1,"A-",47.1023650265085,2
"F",2005-07-12,20224,"2022","CESAR","SAN DIEGO","Estrato 1","N","TÉCNICO/ACADÉMICO",52,55,45,47,45,247,3,3,2,2,"A-",49.504463126839,2
"M",2007-02-17,20234,"2023","BOLIVAR","CARTAGENA DE INDIAS","Estrato 3","N","ACADÉMICO",58,70,60,62,61,312,3,3,3,3,"A2",55.0646833393526,3
"F",2004-05-14,20224,"2022","CESAR","AGUACHICA","Sin Estrato","N","TÉCNICO/ACADÉMICO",42,38,42,38,37,199,2,2,1,2,"A-",43.7362893810849,2
"F",2006-08-30,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","NO APLICA",70,68,63,70,75,342,4,3,3,3,"B1",61.7517144039838,3
"F",2005-01-07,20214,"2021","CORDOBA","SAHAGÚN","Estrato 1","N","ACADÉMICO",64,67,55,56,52,299,3,3,3,2,"A1",36.1588875556383,1
"M",2005-05-24,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 5","N","ACADÉMICO",76,83,76,77,100,398,4,4,4,4,"B+",71.920477421974,4
"M",2003-09-15,20224,"2022","ANTIOQUIA","PUERTO TRIUNFO","Estrato 2","N","ACADÉMICO",57,62,57,66,67,305,3,3,3,3,"A2",57.7537707682787,3
"F",2003-05-30,20234,"2023","NORTE SANTANDER","TOLEDO","Estrato 1","N","TÉCNICO",37,41,32,33,40,180,2,2,1,1,"A-",40.8307188494557,1
"M",2002-08-30,20204,"2020","ANTIOQUIA","MEDELLÍN","Estrato 1","N","TÉCNICO/ACADÉMICO",57,55,53,48,46,263,3,3,2,2,"A-",53.5817818729637,3
"F",2005-06-05,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","ACADÉMICO",51,42,52,53,40,244,3,2,2,2,"A-",54.1573161214086,3
"M",2003-07-04,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","NO APLICA",68,70,61,46,35,296,4,3,2,3,"A-",53.0074413809851,3
"F",2005-05-12,20234,"2023","MAGDALENA","SANTA MARTA","Sin Estrato","N","ACADÉMICO",38,45,35,40,28,193,2,2,1,1,"A-",52.2147244944812,3
"F",2002-08-19,20204,"2020","CORDOBA","TIERRALTA","Estrato 1","N","TÉCNICO/ACADÉMICO",53,49,55,40,41,243,3,2,1,2,"A-",41.3858078596643,2
"M",2006-10-07,20234,"2023","ATLANTICO","SOLEDAD","Estrato 2","N","NO APLICA",61,50,62,56,71,292,3,2,3,3,"B1",55.7166556986049,3
"F",2002-11-15,20204,"2020","GUAVIARE","SAN JOSÉ DEL GUAVIARE","Estrato 1","N","TÉCNICO/ACADÉMICO",62,62,50,44,44,268,3,3,2,2,"A-",44.3482711424606,2
"F",2004-05-25,20224,"2022","GUAVIARE","SAN JOSÉ DEL GUAVIARE","Estrato 1","N","ACADÉMICO",43,46,45,40,43,217,2,2,1,2,"A-",45.4922680206771,2
"M",1997-05-08,20214,"2021","CHOCO","ALTO BAUDÓ","Estrato 2","N","TÉCNICO/ACADÉMICO",35,28,25,29,NA,146,1,1,1,1,"",42.1093148846696,2
"F",2002-04-20,20204,"2020","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",68,52,62,44,56,282,4,3,2,3,"A1",51.8855237171183,3
"F",2003-06-24,20204,"2020","ANTIOQUIA","MEDELLÍN","Estrato 3","N","ACADÉMICO",40,31,33,33,39,173,2,1,1,1,"A-",49.4845255642694,2
"F",2003-02-22,20224,"2022","ANTIOQUIA","EL BAGRE","Estrato 1","N","TÉCNICO/ACADÉMICO",50,45,35,43,38,214,2,2,2,1,"A-",42.9506178856212,2
"M",2005-10-03,20224,"2022","VALLE","CALIMA","Estrato 2","N","TÉCNICO",63,69,63,70,64,330,3,3,3,3,"A2",49.8105115641001,2
"F",2002-01-28,20214,"2021","CUNDINAMARCA","GUADUAS","Estrato 2","N","TÉCNICO/ACADÉMICO",44,45,24,36,46,190,2,2,1,1,"A-",46.8895140601106,2
"F",2002-11-15,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","NO APLICA",47,48,54,49,41,244,2,2,2,2,"A-",52.3033772872937,3
"F",2004-07-18,20214,"2021","QUINDIO","CALARCÁ","Estrato 3","N","TÉCNICO/ACADÉMICO",66,72,72,66,63,343,4,4,3,4,"A2",47.2923207757736,2
"F",2006-08-31,20234,"2023","NORTE SANTANDER","CÚCUTA","Estrato 2","N","ACADÉMICO",66,53,62,63,47,300,4,3,3,3,"A-",42.1151886324722,2
"F",2004-03-14,20204,"2020","SUCRE","SINCELEJO","Estrato 3","N","ACADÉMICO",62,36,55,50,53,255,3,2,2,2,"A1",58.9179356075652,3
"F",2003-04-04,20204,"2020","MAGDALENA","SANTA MARTA","Estrato 3","N","TÉCNICO",77,81,78,79,71,391,4,4,4,4,"B1",59.0055003462105,3
"F",2006-06-22,20234,"2023","CAUCA","POPAYÁN","Estrato 2","N","ACADÉMICO",45,56,35,38,49,220,2,3,1,1,"A1",58.9741011711887,3
"F",2007-04-02,20234,"2023","NARIÑO","EL CHARCO","Estrato 1","N","ACADÉMICO",57,50,44,46,50,247,3,2,2,2,"A1",40.6348652367564,1
"F",2005-10-04,20224,"2022","CORDOBA","TIERRALTA","Estrato 2","N","ACADÉMICO",34,40,27,39,33,174,1,2,1,1,"A-",43.3755455434721,2
"F",2007-07-30,20234,"2023","CESAR","CURUMANÍ","Estrato 2","N","NO APLICA",56,49,47,48,69,257,3,2,2,2,"B1",NA,NA
"F",2006-10-11,20234,"2023","NARIÑO","SAN ANDRÉS DE TUMACO","Estrato 3","N","ACADÉMICO",40,43,36,40,34,197,2,2,1,1,"A-",43.6823158835098,2
"M",2005-02-11,20214,"2021","LA GUAJIRA","ALBANIA","Sin Estrato","N","NO APLICA",57,58,46,40,34,245,3,3,1,2,"A-",NA,NA
"M",2006-06-16,20224,"2022","CESAR","BECERRIL","Estrato 2","N","TÉCNICO/ACADÉMICO",54,56,45,53,55,261,3,3,2,2,"A1",46.5737240336303,2
"F",2007-01-17,20234,"2023","ATLANTICO","SOLEDAD","Estrato 1","N","TÉCNICO/ACADÉMICO",57,59,25,49,33,232,3,3,2,1,"A-",47.5149052773445,2
"M",2005-06-30,20234,"2023","CESAR","PELAYA","Estrato 1","N","TÉCNICO/ACADÉMICO",37,34,26,31,34,161,2,1,1,1,"A-",NA,NA
"F",2004-02-02,20224,"2022","VALLE","SEVILLA","Estrato 2","S","ACADÉMICO",49,28,47,38,34,200,2,1,1,2,"A-",49.6687184973919,2
"F",2002-06-05,20224,"2022","VALLE","BUENAVENTURA","Estrato 3","N","ACADÉMICO",37,36,38,32,32,177,2,2,1,1,"A-",41.7114518839272,2
"F",2005-09-02,20234,"2023","ANTIOQUIA","BELLO","Estrato 3","N","ACADÉMICO",62,58,54,54,44,280,3,3,2,2,"A-",NA,NA
"F",2006-02-14,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",63,60,61,67,59,312,3,3,3,3,"A2",66.8493606661086,4
"M",2005-12-23,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",55,40,40,44,41,222,3,2,2,1,"A-",42.4464459336046,2
"M",2004-11-23,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 1","N","ACADÉMICO",53,58,38,49,39,243,3,3,2,1,"A-",55.7829495998591,3
"M",2004-01-18,20204,"2020","MAGDALENA","SANTA MARTA","Estrato 5","N","ACADÉMICO",39,37,29,41,40,184,2,2,2,1,"A-",54.6060218510654,3
"F",2002-12-04,20214,"2021","ANTIOQUIA","MEDELLÍN","Estrato 2","N","TÉCNICO/ACADÉMICO",51,44,47,44,34,228,3,2,2,2,"A-",54.011067297089,3
"M",2003-07-08,20214,"2021","ANTIOQUIA","GRANADA","Estrato 2","N","TÉCNICO/ACADÉMICO",30,66,37,62,41,241,1,3,3,1,"A-",54.702431804879,3
"F",2006-02-20,20224,"2022","CAUCA","POPAYÁN","Estrato 3","N","ACADÉMICO",50,38,26,36,35,187,2,2,1,1,"A-",59.3177121346344,3
"F",2004-03-09,20214,"2021","NORTE SANTANDER","GRAMALOTE","Estrato 3","N","TÉCNICO/ACADÉMICO",52,39,47,48,52,235,3,2,2,2,"A1",66.8399764388303,4
"F",2003-11-21,20234,"2023","MAGDALENA","SANTA MARTA","Estrato 2","N","TÉCNICO/ACADÉMICO",65,59,54,59,52,293,3,3,3,2,"A1",44.7151423720406,2
"F",2003-10-23,20224,"2022","CORDOBA","MONTELÍBANO","Estrato 1","N","ACADÉMICO",50,48,39,44,33,222,2,2,2,1,"A-",46.8128405072942,2
"M",2004-11-12,20214,"2021","ANTIOQUIA","BARBOSA","Estrato 3","N","TÉCNICO/ACADÉMICO",54,60,49,54,55,272,3,3,2,2,"A1",55.730245923309,3
"M",1999-06-14,20204,"2020","META","LA MACARENA","Sin Estrato","N","TÉCNICO/ACADÉMICO",36,30,40,37,34,178,2,1,1,1,"A-",24.3139760007341,1
"F",2004-05-25,20214,"2021","BOYACA","PISBA","Estrato 1","N","TÉCNICO",54,40,48,48,48,238,3,2,2,2,"A1",37.4716425773596,1
"M",2004-01-11,20204,"2020","CUNDINAMARCA","GIRARDOT","Estrato 2","N","TÉCNICO/ACADÉMICO",44,45,33,44,43,208,2,2,2,1,"A-",49.2419429923074,2
"M",2004-03-20,20214,"2021","SANTANDER","BUCARAMANGA","Estrato 2","N","ACADÉMICO",54,62,63,52,44,283,3,3,2,3,"A-",58.1954845151332,3
"M",2003-07-10,20204,"2020","AMAZONAS","PUERTO NARIÑO","Sin Estrato","N","TÉCNICO/ACADÉMICO",49,54,42,37,41,226,2,3,1,2,"A-",37.9671475087786,1
"F",2004-12-10,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","ACADÉMICO",69,64,70,60,80,334,4,3,3,3,"B+",74.2697378123436,4
"F",2004-07-13,20214,"2021","SANTANDER","GIRÓN","Estrato 2","N","TÉCNICO/ACADÉMICO",59,54,50,40,57,256,3,3,1,2,"A1",59.8955452334147,3
"F",2003-06-10,20224,"2022","ANTIOQUIA","SABANALARGA","Estrato 1","N","ACADÉMICO",58,24,42,38,33,200,3,1,1,2,"A-",42.4061604265423,2
"F",2004-03-06,20224,"2022","BOLIVAR","MARGARITA","Sin Estrato","N","ACADÉMICO",46,50,56,54,45,255,2,2,2,3,"A-",43.0965690534199,2
"M",2005-12-15,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 1","N","ACADÉMICO",69,58,57,61,46,300,4,3,3,3,"A-",40.4692744059898,1
"M",2002-06-08,20204,"2020","HUILA","PITALITO","Estrato 2","N","TÉCNICO/ACADÉMICO",62,61,60,66,52,307,3,3,3,3,"A1",68.5139935330931,4
"F",2006-08-31,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","ACADÉMICO",41,41,42,40,48,208,2,2,1,2,"A1",52.4804922714568,3
"F",2005-02-13,20214,"2021","ANTIOQUIA","EL BAGRE","Estrato 1","N","ACADÉMICO",48,52,44,43,45,233,2,3,2,2,"A-",37.7602009091413,1
"F",2004-07-31,20204,"2020","META","VILLAVICENCIO","Estrato 3","N","ACADÉMICO",52,100,59,57,44,326,3,4,3,3,"A-",65.797848633247,4
"F",2003-05-10,20214,"2021","CESAR","VALLEDUPAR","Sin Estrato","N","ACADÉMICO",34,47,42,35,37,197,1,2,1,2,"A-",40.4777859990635,1
"M",2006-08-11,20234,"2023","ANTIOQUIA","ITAGÜÍ","Estrato 4","N","NO APLICA",46,61,41,38,48,233,2,3,1,2,"A1",55.6411892402376,3
"F",2006-10-20,20234,"2023","BOYACA","CUÍTIVA","Estrato 1","N","ACADÉMICO",61,68,60,54,48,299,3,3,2,3,"A1",35.9411518877152,1
"M",2006-10-16,20234,"2023","VALLE","SEVILLA","Estrato 1","N","ACADÉMICO",50,52,43,47,50,241,2,3,2,2,"A1",44.2263664975355,2
"F",2002-06-20,20204,"2020","ANTIOQUIA","LA ESTRELLA","Estrato 2","N","TÉCNICO/ACADÉMICO",41,44,45,41,41,213,2,2,2,2,"A-",47.5526504902683,2
"F",2007-01-05,20234,"2023","PUTUMAYO","SAN MIGUEL","Estrato 3","N","ACADÉMICO",35,29,28,35,37,161,1,1,1,1,"A-",47.9947117252833,2
"M",2002-02-02,20204,"2020","NARIÑO","RICAURTE","Sin Estrato","N","ACADÉMICO",53,44,55,49,43,248,3,2,2,2,"A-",NA,NA
"M",2003-01-07,20214,"2021","ANTIOQUIA","NECOCLÍ","Estrato 2","N","NO APLICA",39,25,28,35,32,159,2,1,1,1,"A-",31.6777897780239,1
